 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#5713,1.373925370e+01,9.995478300e-01,-2.076011495e-02 
val#5714,1.374045598e+01,9.994164620e-01,-2.077061116e-02 
val#5715,1.374165866e+01,9.992873038e-01,-2.078084408e-02 
val#5716,1.374286171e+01,9.991604320e-01,-2.079079856e-02 
val#5717,1.374406515e+01,9.990359246e-01,-2.080045931e-02 
val#5718,1.374526898e+01,9.989138612e-01,-2.080981101e-02 
val#5719,1.374647320e+01,9.987943244e-01,-2.081883790e-02 
val#5720,1.374767780e+01,9.986773997e-01,-2.082752409e-02 
val#5721,1.374888279e+01,9.985631767e-01,-2.083585316e-02 
val#5722,1.375008817e+01,9.984517491e-01,-2.084380827e-02 
val#5723,1.375129393e+01,9.983432159e-01,-2.085137207e-02 
val#5724,1.375250009e+01,9.982376817e-01,-2.085852656e-02 
val#5725,1.375370663e+01,9.981352571e-01,-2.086525311e-02 
val#5726,1.375491356e+01,9.980360598e-01,-2.087153251e-02 
val#5727,1.375612087e+01,9.979402145e-01,-2.087734473e-02 
val#5728,1.375732858e+01,9.978478542e-01,-2.088266912e-02 
val#5729,1.375853667e+01,9.977591200e-01,-2.088748432e-02 
val#5730,1.375974516e+01,9.976741619e-01,-2.089176816e-02 
val#5731,1.376095403e+01,9.975931394e-01,-2.089549803e-02 
val#5732,1.376216329e+01,9.975162218e-01,-2.089865057e-02 
val#5733,1.376337295e+01,9.974435885e-01,-2.090120204e-02 
val#5734,1.376458299e+01,9.973754290e-01,-2.090312842e-02 
val#5735,1.376579342e+01,9.973119437e-01,-2.090440540e-02 
val#5736,1.376700424e+01,9.972533434e-01,-2.090500889e-02 
val#5737,1.376821546e+01,9.971998497e-01,-2.090491504e-02 
val#5738,1.376942706e+01,9.971516942e-01,-2.090410073e-02 
val#5739,1.377063906e+01,9.971091188e-01,-2.090254383e-02 
val#5740,1.377185144e+01,9.970723744e-01,-2.090022387e-02 
val#5741,1.377306422e+01,9.970417206e-01,-2.089712237e-02 
val#5742,1.377427739e+01,9.970174240e-01,-2.089322349e-02 
val#5743,1.377549095e+01,9.969997572e-01,-2.088851483e-02 
val#5744,1.377670491e+01,9.969889967e-01,-2.088298816e-02 
val#5745,1.377791925e+01,9.969854210e-01,-2.087664020e-02 
val#5746,1.377913399e+01,9.969893072e-01,-2.086947369e-02 
val#5747,1.378034912e+01,9.970009287e-01,-2.086149827e-02 
val#5748,1.378156465e+01,9.970205511e-01,-2.085273161e-02 
val#5749,1.378278056e+01,9.970484284e-01,-2.084320051e-02 
val#5750,1.378399688e+01,9.970847979e-01,-2.083294185e-02 
val#5751,1.378521358e+01,9.971298751e-01,-2.082200387e-02 
val#5752,1.378643068e+01,9.971838487e-01,-2.081044708e-02 
val#5753,1.378764817e+01,9.972468736e-01,-2.079834505e-02 
val#5754,1.378886606e+01,9.973190649e-01,-2.078578526e-02 
val#5755,1.379008434e+01,9.974004909e-01,-2.077286953e-02 
